Movie Name,IMDB Rating,Budget (Million $),Revenue (Million $),Avg User Watch Time (Minutes),Type
Lost Prophecy,9.2,237.5,1128.3,166.1,Movie
Broken Empire,3.2,244.8,591.2,96.0,Series
Stranger Code,6.8,69.9,219.3,120.4,Movie
Dark Chronicles,4.1,15.5,72.1,179.1,Movie
Shadow War,7.6,211.3,598.6,90.9,Movie
Stranger Prophecy,4.1,293.4,478.7,106.8,Series
Eternal Chronicles,4.5,134.6,298.1,103.6,Movie
Shadow Truth,6.2,78.6,172.1,63.9,Movie
Hidden Empire,8.9,47.8,177.6,121.1,Movie
Dark Empire,4.4,86.9,159.2,85.0,Movie
Stranger Legacy,3.9,99.0,374.8,75.4,Movie
Broken War,7.9,127.7,574.9,145.2,Movie
Midnight Reckoning,6.3,197.0,396.4,151.9,Movie
Broken Code,8.9,82.7,91.7,166.7,Movie
Final Saga,4.0,16.2,54.7,172.1,Movie
Final Prophecy,7.2,112.6,239.1,164.3,Movie
Lost Truth,4.5,256.8,745.5,74.7,Series
Eternal Prophecy,4.0,150.0,503.1,86.8,Movie
Eternal Legacy,7.4,289.5,675.9,74.7,Movie
Midnight Chronicles,6.9,151.6,706.6,102.4,Movie
Eternal Prophecy,7.9,83.5,191.9,74.9,Movie
Broken Chronicles,5.0,58.8,110.7,138.4,Movie
Secret Code,5.9,208.7,936.1,146.0,Movie
Dark Reckoning,5.6,161.4,179.7,79.2,Movie
Dark Reckoning,9.4,181.6,192.3,134.6,Series
Midnight Chronicles,4.9,226.8,1068.4,62.8,Movie
Lost Saga,4.9,218.0,314.0,112.1,Movie
Midnight Reckoning,5.3,14.0,16.4,94.2,Movie
Midnight Truth,6.7,241.0,700.9,179.8,Series
Secret Reckoning,4.6,160.3,113.9,170.7,Series
Hidden Destiny,8.9,118.1,388.6,77.7,Movie
Midnight Reckoning,4.7,161.7,410.4,170.1,Series
Midnight Legacy,8.8,184.1,622.6,110.3,Movie
Broken Legacy,3.7,45.7,81.2,129.2,Series
Broken War,7.3,125.8,575.5,124.1,Movie
Final Reckoning,8.9,101.3,174.0,147.1,Movie
Lost Code,4.1,105.8,356.4,100.2,Movie
Lost Reckoning,9.3,28.3,134.5,68.4,Movie
Broken Reckoning,5.9,48.8,112.4,110.1,Series
Secret Legacy,9.1,49.4,60.6,125.3,Movie
Eternal Empire,7.4,112.6,90.9,126.6,Movie
Lost Destiny,5.0,268.5,1297.8,155.1,Movie
Eternal Code,4.2,62.6,246.4,65.3,Movie
Broken Code,5.0,125.4,581.3,178.6,Movie
Broken Code,3.6,94.2,343.3,178.9,Movie
Broken Destiny,3.9,236.4,482.5,71.9,Series
Secret Legacy,3.7,16.0,16.9,101.3,Movie
Midnight Prophecy,5.7,59.8,280.0,130.8,Series
Broken Destiny,8.2,64.0,173.0,104.8,Movie
Stranger War,3.9,297.9,680.5,118.5,Movie
Secret Code,3.8,171.7,532.3,99.1,Movie
Hidden Truth,7.2,42.5,41.6,145.5,Series
Shadow Empire,4.3,82.4,155.9,103.7,Movie
Secret Prophecy,3.6,51.2,172.6,111.6,Movie
Midnight Legacy,4.1,38.3,36.4,129.1,Movie
Stranger Reckoning,9.0,239.4,265.4,176.3,Series
Final Code,8.3,149.2,417.4,137.0,Movie
Dark Chronicles,5.3,189.7,627.1,71.6,Movie
Midnight Prophecy,7.3,100.0,134.2,98.3,Movie
Shadow Truth,6.5,166.6,108.1,110.4,Movie
Hidden Saga,7.4,78.0,375.4,148.8,Movie
Eternal Empire,7.4,93.1,58.1,113.6,Movie
Broken Code,7.1,196.0,99.8,139.1,Movie
Broken Prophecy,4.7,46.0,89.9,160.7,Series
Secret Destiny,3.3,185.5,278.4,72.5,Movie
Secret Empire,6.0,255.8,788.2,151.9,Movie
Broken Destiny,8.8,37.0,167.4,149.5,Movie
Dark Destiny,6.7,269.3,717.7,158.4,Movie
Shadow Empire,8.4,24.8,98.7,174.7,Movie
Dark Truth,9.4,105.3,483.5,97.2,Series
Broken Prophecy,4.1,183.5,248.1,111.5,Series
Eternal Truth,7.5,168.3,454.0,91.5,Movie
Dark Prophecy,7.4,29.8,101.0,99.3,Movie
Stranger Chronicles,9.4,239.9,478.2,99.6,Movie
Shadow Prophecy,9.4,292.0,1118.0,164.4,Movie
Broken Saga,7.5,55.2,202.8,67.5,Movie
Hidden Reckoning,4.6,268.6,643.3,84.3,Movie
Broken Prophecy,8.2,167.5,150.0,133.3,Movie
Midnight Code,3.7,280.8,155.0,151.8,Movie
Stranger Truth,8.1,53.6,115.9,143.7,Movie
Stranger Chronicles,8.9,237.8,206.7,65.6,Series
Midnight Saga,5.5,18.9,75.9,114.5,Series
Final Legacy,7.1,265.1,531.4,82.1,Series
Secret Truth,5.8,202.6,708.6,178.6,Movie
Final Prophecy,5.8,111.7,230.0,179.9,Movie
Shadow War,5.0,57.9,236.3,66.1,Series
Dark Empire,8.0,245.1,1102.4,140.1,Movie
Shadow Chronicles,9.1,181.4,774.4,157.6,Movie
Shadow Saga,9.1,108.8,291.6,99.0,Movie
Broken Truth,4.1,133.7,117.4,143.2,Series
Final Truth,8.7,248.1,539.0,82.5,Movie
Dark Destiny,7.8,102.3,246.5,75.4,Series
Lost Destiny,4.6,27.8,134.0,171.0,Movie
Hidden Legacy,3.4,273.5,832.7,137.1,Movie
Midnight Code,4.7,116.8,395.2,158.0,Series
Shadow Reckoning,8.9,105.2,422.8,123.9,Movie
Stranger War,7.1,62.1,189.8,78.6,Movie
Secret Prophecy,7.7,269.3,859.9,105.2,Movie
Hidden Truth,4.7,66.0,105.9,165.8,Movie
Midnight Code,7.7,191.4,146.4,61.9,Movie
Hidden War,3.2,264.3,990.1,84.9,Movie
Broken War,5.4,11.4,49.2,90.4,Series
Eternal War,7.1,248.8,585.7,91.6,Movie
Dark Legacy,3.9,123.8,367.7,71.8,Series
Hidden Empire,8.3,197.7,372.2,161.8,Series
Secret Legacy,4.5,112.3,283.7,79.1,Series
Dark Code,7.2,209.0,301.0,159.6,Series
Eternal Chronicles,5.6,77.0,301.8,102.6,Movie
Secret Legacy,6.9,7.6,20.6,114.9,Movie
Midnight Chronicles,3.7,284.4,842.5,115.5,Movie
Hidden Chronicles,3.1,5.9,3.9,145.6,Movie
Hidden Truth,8.9,247.4,816.6,147.8,Movie
Secret Code,4.8,51.6,72.9,136.9,Series
Broken Legacy,8.3,118.3,263.3,152.9,Movie
Lost Saga,9.5,246.9,582.0,61.0,Series
Final Destiny,4.4,62.6,157.7,120.6,Movie
Broken Reckoning,4.7,259.8,395.8,122.9,Movie
Midnight Reckoning,7.3,149.8,648.0,88.7,Series
Final Legacy,9.3,110.5,268.0,126.8,Movie
Secret Destiny,9.0,199.1,648.0,116.1,Series
Eternal Saga,6.3,103.1,336.4,116.7,Movie
Lost Truth,8.2,104.8,338.7,74.2,Series
Broken Reckoning,3.9,220.3,664.6,112.2,Movie
Shadow Truth,9.4,93.6,393.3,152.0,Series
Hidden Chronicles,9.3,61.0,253.6,109.2,Movie
Lost Code,4.1,242.5,576.5,118.5,Series
Lost Truth,4.9,241.8,812.8,176.1,Series
Secret Empire,3.7,149.8,144.2,164.6,Movie
Shadow Reckoning,4.8,158.5,144.0,171.4,Movie
Dark Legacy,8.3,209.1,556.1,69.3,Series
Midnight Destiny,5.5,153.3,697.7,134.2,Series
Secret Saga,3.6,125.7,430.5,86.8,Movie
Dark Reckoning,5.2,298.5,1048.2,108.5,Movie
Shadow Chronicles,9.4,45.1,54.5,141.6,Movie
Eternal Empire,7.1,178.2,452.6,129.5,Movie
Secret Prophecy,5.7,265.9,612.5,120.7,Series
Lost Truth,4.1,206.5,830.8,157.7,Series
Shadow Prophecy,9.4,264.4,296.2,141.9,Movie
Eternal Reckoning,8.3,101.6,297.3,158.5,Movie
Secret Destiny,4.8,82.3,378.7,171.8,Movie
Dark Chronicles,3.5,255.5,1153.9,145.4,Movie
Midnight Reckoning,3.4,118.8,515.1,107.4,Movie
Dark Truth,3.8,213.2,466.4,85.5,Movie
Final Chronicles,6.8,45.2,214.0,92.5,Movie
Eternal Empire,9.0,227.0,936.1,107.6,Movie
Hidden War,6.2,165.1,714.9,148.8,Series
Midnight Reckoning,8.5,81.3,381.8,64.8,Series
Secret Prophecy,5.9,148.9,702.3,157.7,Movie
Midnight War,7.6,209.4,330.9,151.0,Series
Dark Legacy,7.8,4.6,4.9,119.9,Movie
Broken Truth,4.1,191.6,691.5,108.0,Series
Final Destiny,5.3,162.9,494.3,73.5,Movie
Hidden Legacy,7.1,66.9,132.0,94.8,Movie
Midnight Chronicles,3.5,226.1,809.4,73.2,Movie
Hidden Destiny,5.4,91.7,71.4,158.3,Series
Secret Reckoning,6.5,83.8,59.7,121.1,Series
Final Truth,9.5,141.9,297.2,89.6,Movie
Shadow Reckoning,6.1,203.2,278.9,62.2,Movie
Secret Reckoning,8.3,278.7,1040.5,122.9,Series
Shadow Destiny,5.8,43.3,206.4,150.3,Series
Dark Destiny,8.2,119.5,415.5,152.0,Series
Lost Chronicles,6.9,21.0,72.4,85.7,Series
Secret Destiny,8.8,227.8,120.7,179.4,Movie
Broken Truth,5.7,134.9,378.4,128.3,Series
Secret Truth,6.9,212.4,887.2,99.8,Movie
Shadow Prophecy,7.1,97.3,335.1,107.1,Series
Broken Empire,5.7,253.5,386.6,74.9,Movie
Lost War,3.9,160.9,694.8,119.2,Movie
Midnight Reckoning,3.6,283.1,1370.1,150.4,Movie
Hidden Code,3.1,24.6,43.2,109.1,Series
Shadow Reckoning,8.7,154.8,221.7,164.0,Movie
Shadow Saga,4.5,230.2,465.8,117.2,Series
Broken Empire,4.4,180.4,141.5,168.1,Movie
Stranger Truth,7.8,7.9,35.0,144.4,Movie
Shadow Prophecy,5.1,291.7,1365.7,66.6,Series
Stranger War,6.3,90.2,302.2,68.0,Movie
Stranger Empire,4.1,75.5,297.4,156.0,Series
Secret Prophecy,9.2,146.2,513.0,102.8,Movie
Stranger War,8.5,163.1,358.5,82.7,Movie
Shadow Destiny,8.6,230.1,769.5,163.8,Series
Stranger Chronicles,5.6,118.6,505.6,178.0,Series
Shadow Code,8.0,132.5,549.2,157.0,Movie
Shadow Reckoning,3.9,161.0,139.2,147.0,Movie
Dark Reckoning,3.1,118.9,307.0,60.1,Movie
Secret Truth,3.1,274.4,627.8,72.7,Series
Secret Saga,6.8,255.5,992.4,140.5,Movie
Shadow War,6.0,137.0,377.6,109.1,Series
Dark Truth,6.4,1.1,2.3,62.3,Movie
Stranger Code,3.0,270.4,994.7,148.9,Movie
Secret Empire,5.7,38.2,100.5,110.3,Movie
Eternal Truth,7.7,74.1,122.6,139.1,Movie
Shadow Legacy,5.9,46.6,210.0,116.2,Movie
Midnight Saga,7.8,54.8,55.3,63.2,Movie
Eternal Code,4.5,241.1,140.2,136.3,Series
Broken Reckoning,8.3,174.3,200.0,154.6,Movie
Hidden War,6.8,286.9,354.7,78.7,Movie
Lost Destiny,4.4,70.2,205.1,166.9,Movie
Broken Truth,4.5,146.2,484.2,81.8,Series
Lost Empire,7.1,293.3,738.7,110.7,Movie
Stranger Truth,8.4,248.1,352.0,123.3,Movie
Dark Chronicles,5.7,218.9,239.7,97.7,Movie
Secret Legacy,4.7,57.5,156.1,120.1,Movie
Broken Saga,8.6,231.1,703.6,146.2,Movie
Lost Prophecy,7.4,104.9,195.9,145.7,Movie
Lost Legacy,5.9,159.6,238.1,170.7,Movie
Stranger Empire,6.2,183.1,158.0,163.5,Movie
Hidden Truth,4.3,183.2,113.2,178.2,Movie
Stranger Destiny,7.1,218.2,212.9,131.4,Movie
Eternal Saga,5.3,198.8,763.3,108.1,Movie
Lost Truth,9.5,21.4,43.8,88.8,Series
Eternal Legacy,6.1,137.7,85.8,89.3,Movie
Eternal Legacy,6.2,199.5,556.0,78.1,Movie
Stranger Truth,6.7,89.5,260.7,147.2,Movie
Secret Chronicles,9.0,94.6,229.8,138.5,Movie
Midnight Destiny,8.2,38.2,38.1,95.1,Series
Final Destiny,5.9,126.2,491.8,167.1,Movie
Secret Prophecy,7.7,296.1,1066.2,126.3,Movie
Midnight Truth,6.8,86.3,196.4,68.3,Movie
Midnight Truth,6.2,159.9,354.0,67.4,Movie
Secret Code,4.3,223.2,268.2,77.2,Movie
Hidden War,6.0,5.0,19.5,85.4,Movie
Hidden Reckoning,4.6,270.2,864.1,166.5,Movie
Final Prophecy,8.9,116.6,103.3,153.4,Series
Eternal Prophecy,5.2,260.9,574.3,84.2,Series
Secret Code,9.2,12.6,57.5,89.8,Series
Midnight Truth,6.5,44.6,113.1,136.4,Movie
Hidden Chronicles,7.1,97.4,191.1,164.6,Movie
Stranger Code,6.5,104.3,354.3,98.0,Movie
Secret War,3.8,254.5,359.7,123.1,Movie
Midnight War,5.4,4.3,12.3,166.8,Series
Lost Destiny,3.6,192.7,676.9,152.5,Movie
Midnight Chronicles,7.0,40.3,175.2,167.0,Movie
Secret Saga,5.9,247.1,893.6,93.4,Movie
Stranger Truth,8.1,233.8,521.3,142.9,Movie
Eternal Chronicles,4.4,150.5,595.2,73.7,Movie
Lost Reckoning,4.1,64.6,293.5,133.9,Movie
Dark Chronicles,5.6,190.7,505.3,96.5,Series
Final Chronicles,9.0,47.7,24.8,144.2,Movie
Eternal Truth,7.6,57.8,258.0,77.0,Movie
Dark Empire,5.7,188.4,234.5,139.9,Movie
Hidden Legacy,6.4,297.4,317.8,145.0,Movie
Stranger Empire,3.5,267.4,503.9,162.9,Series
Midnight War,9.4,178.3,394.0,142.4,Series
Broken Saga,7.3,162.0,663.7,122.7,Series
Midnight Truth,4.9,299.5,674.3,154.1,Series
Midnight Destiny,6.8,164.7,118.5,94.1,Movie
Stranger Reckoning,3.7,126.6,425.6,141.3,Series
Broken Reckoning,9.3,273.0,961.1,146.9,Movie
Dark Empire,4.1,71.0,295.6,107.1,Movie
Hidden Reckoning,7.2,30.2,69.3,178.7,Movie
Hidden Legacy,4.6,190.6,169.1,102.7,Movie
Secret Prophecy,7.7,29.7,88.8,70.1,Movie
Midnight Chronicles,8.0,112.6,117.6,96.4,Movie
Secret Chronicles,7.4,127.6,73.6,71.9,Movie
Dark War,7.0,164.7,659.4,100.7,Series
Eternal Reckoning,8.8,297.5,688.8,75.3,Movie
Dark Destiny,3.5,67.1,192.1,112.7,Movie
Secret Code,5.2,113.4,395.0,153.4,Series
Midnight Empire,4.6,40.5,93.3,68.1,Series
Stranger Prophecy,9.4,182.7,133.4,127.6,Movie
Dark Truth,5.5,218.6,357.9,65.3,Series
Dark Legacy,7.8,145.1,199.4,166.2,Movie
Eternal Chronicles,7.5,74.5,364.9,170.6,Movie
Hidden Chronicles,4.4,186.6,714.3,119.1,Series
Secret Reckoning,4.6,162.2,410.7,152.3,Movie
Broken Reckoning,4.8,52.2,41.0,131.1,Movie
Stranger Saga,5.7,122.3,124.9,100.9,Movie
Stranger Saga,4.5,131.1,545.1,89.4,Series
Lost War,3.1,294.8,1401.6,151.0,Series
Secret Empire,8.7,254.9,163.4,111.6,Movie
Final Truth,9.3,220.6,1014.1,170.4,Movie
Secret Empire,5.2,266.7,590.1,177.1,Series
Midnight Code,5.2,220.9,322.8,85.2,Series
Lost Destiny,3.0,271.1,260.3,127.3,Series
Lost Saga,7.4,17.3,68.7,124.4,Series
Eternal Empire,8.4,137.4,358.6,164.2,Movie
Final Saga,4.0,224.3,952.4,142.9,Series
Secret Chronicles,4.0,175.4,266.2,132.9,Series
Midnight War,8.1,53.4,189.8,141.5,Movie
Stranger Reckoning,7.0,102.8,106.0,106.7,Series
Secret Chronicles,3.3,96.0,86.8,175.2,Series
Dark Reckoning,7.0,79.1,87.0,66.9,Movie
Eternal Code,5.0,103.6,428.9,63.5,Series
Hidden Legacy,5.4,154.9,534.4,109.9,Movie
Midnight Code,8.0,256.6,319.9,78.5,Series
Shadow Empire,8.3,222.9,497.4,125.4,Series
Eternal Code,5.6,250.7,986.9,61.1,Series
Final Legacy,9.2,265.2,473.5,115.2,Movie
Stranger Legacy,5.6,125.4,582.6,95.4,Series
Hidden Prophecy,8.0,104.5,482.3,84.3,Movie
Dark Empire,6.1,18.2,54.4,113.4,Series
Dark Reckoning,8.8,279.2,933.6,162.5,Movie
Secret Empire,8.9,20.7,71.2,138.6,Movie
Hidden War,3.6,222.6,370.2,79.2,Movie
Lost Empire,9.1,114.1,244.6,119.9,Movie
Hidden Empire,8.4,284.7,316.5,171.8,Movie
Shadow Saga,8.1,126.5,589.7,112.7,Movie
Stranger Legacy,4.3,245.2,921.3,116.5,Series
Eternal Destiny,8.2,85.5,60.6,173.0,Series
Hidden Empire,8.5,90.4,268.7,76.3,Movie
Shadow Empire,4.9,179.1,366.1,148.2,Series
Eternal War,9.2,299.4,1248.1,95.9,Movie
Midnight War,3.3,155.8,318.9,163.9,Movie
Shadow Truth,4.0,281.0,955.0,66.5,Series
Broken Legacy,6.5,236.1,294.1,178.8,Movie
Final Empire,6.7,239.0,720.4,152.2,Movie
Stranger Chronicles,7.2,131.4,239.5,94.1,Movie
Dark Chronicles,3.1,116.6,144.8,151.3,Series
Eternal Prophecy,9.2,58.4,191.9,170.8,Movie
Shadow Code,3.3,289.2,975.7,73.6,Movie
Dark War,3.9,287.9,1417.9,169.6,Movie
Broken Empire,3.1,224.4,787.9,103.2,Movie
Eternal Truth,6.7,89.6,252.7,60.8,Series
Eternal War,9.1,74.3,342.3,73.5,Series
Midnight Reckoning,7.3,296.6,1253.8,166.2,Movie
Stranger Chronicles,8.3,20.9,62.1,177.9,Movie
Shadow Saga,3.1,253.2,709.2,167.4,Movie
Broken Saga,6.5,107.3,508.5,113.0,Movie
Shadow Saga,6.0,126.2,413.6,175.4,Movie
Secret Legacy,6.2,249.8,927.3,108.8,Series
Eternal Saga,3.5,28.1,25.0,73.6,Series
Stranger Reckoning,7.4,106.9,399.0,100.9,Movie
Dark Code,6.3,285.7,483.1,179.8,Movie
Dark War,8.0,210.0,214.2,135.1,Movie
Eternal Prophecy,6.2,226.7,980.1,100.8,Series
Eternal Legacy,4.0,227.5,821.4,134.9,Movie
Broken Empire,7.2,19.1,44.6,111.5,Series
Broken Empire,4.1,61.8,150.9,65.9,Series
Secret Legacy,8.7,147.9,205.1,84.1,Series
Secret Truth,7.0,111.1,60.3,62.3,Series
Eternal Chronicles,4.0,123.9,256.7,90.6,Movie
Stranger Saga,9.3,234.7,274.1,148.7,Series
Midnight War,6.4,5.4,12.9,83.2,Movie
Lost Chronicles,3.5,198.5,844.1,123.4,Series
Shadow Truth,7.1,1.0,1.0,144.2,Series
Midnight Reckoning,4.6,19.9,18.2,125.8,Movie
Shadow Destiny,8.2,123.1,561.3,61.8,Series
Stranger War,8.3,252.4,972.5,103.6,Movie
Stranger Code,9.4,44.4,32.8,113.0,Movie
Eternal Reckoning,6.3,166.8,143.1,101.1,Movie
Shadow Legacy,6.0,203.9,730.4,125.6,Movie
Hidden Empire,7.9,69.6,150.8,121.6,Series
Stranger War,3.9,154.2,579.6,82.5,Movie
Secret Prophecy,6.6,273.5,634.5,150.2,Series
Shadow Empire,6.6,154.2,748.6,79.3,Series
Shadow Code,3.6,48.0,174.0,115.1,Movie
Stranger Empire,5.7,188.7,133.9,150.8,Series
Lost Destiny,8.5,178.1,353.9,143.7,Movie
Lost Prophecy,8.6,9.1,27.6,111.9,Movie
Midnight Destiny,3.6,28.1,32.0,154.7,Series
Stranger Reckoning,3.6,47.9,24.5,145.7,Movie
Final War,4.7,41.8,35.8,106.1,Movie
Secret Legacy,8.7,78.6,224.7,167.5,Series
Secret Empire,3.8,136.8,457.6,77.0,Movie
Final Empire,7.7,112.1,102.9,103.0,Movie
Broken Empire,3.7,267.3,933.7,143.7,Series
Shadow Chronicles,7.1,184.0,603.0,164.8,Movie
Dark Legacy,5.3,263.0,1243.9,98.7,Movie
Broken Reckoning,8.1,158.6,679.3,127.3,Movie
Lost War,4.5,27.9,132.4,61.4,Series
Dark Reckoning,7.2,139.5,676.2,104.5,Movie
Final Chronicles,4.5,246.8,613.0,99.7,Movie
Eternal War,7.6,59.0,159.0,161.1,Movie
Lost Reckoning,8.7,28.3,50.0,68.9,Movie
Lost Legacy,3.8,99.5,277.4,67.5,Movie
Stranger Truth,8.6,117.3,138.2,113.1,Movie
Secret Code,6.9,92.6,326.1,108.9,Movie
Final Saga,3.8,41.4,25.3,79.4,Series
Midnight Empire,5.8,76.0,118.6,91.6,Movie
Stranger Legacy,4.0,205.0,294.4,176.9,Movie
Dark Empire,7.6,116.4,549.5,121.6,Series
Stranger Chronicles,7.9,190.1,219.0,70.5,Series
Dark Code,3.7,161.4,727.7,66.0,Movie
Broken Empire,6.3,165.2,175.0,65.0,Series
Lost Prophecy,8.3,75.3,258.1,106.7,Movie
Final Legacy,9.1,156.9,304.3,163.9,Movie
Dark Prophecy,6.3,8.1,15.6,159.9,Movie
Lost War,9.2,130.1,649.5,104.1,Movie
Midnight Chronicles,6.5,172.2,261.3,152.9,Movie
Hidden Code,5.6,55.4,78.2,150.3,Series
Stranger Code,8.5,77.7,244.9,118.0,Movie
Hidden Empire,6.2,66.6,255.3,108.5,Movie
Lost Legacy,6.1,22.1,108.8,81.7,Movie
Hidden Saga,6.2,105.0,383.9,93.5,Movie
Broken Truth,8.5,293.7,889.4,100.6,Movie
Stranger Empire,8.4,106.8,250.0,157.5,Series
Broken War,5.6,138.7,440.8,126.4,Series
Midnight Chronicles,5.2,196.3,628.9,84.1,Movie
Dark Prophecy,6.2,194.9,288.4,71.5,Movie
Stranger Reckoning,6.7,285.0,1003.3,119.6,Movie
Midnight Code,4.5,257.4,365.5,140.0,Movie
Lost Truth,8.2,238.4,644.8,158.3,Movie
Hidden Saga,6.2,285.5,476.6,155.7,Movie
Final Code,5.2,70.0,133.5,158.9,Movie
Shadow Legacy,3.7,185.5,605.2,113.7,Movie
Eternal Destiny,4.6,266.3,210.4,163.9,Movie
Eternal Prophecy,9.2,187.6,104.0,113.4,Movie
Shadow Chronicles,5.0,293.2,318.9,80.2,Movie
Midnight Chronicles,4.1,31.0,39.0,107.7,Movie
Final Destiny,6.0,132.4,184.1,100.8,Movie
Dark Chronicles,5.0,293.2,1167.7,107.1,Series
Stranger War,3.2,114.5,287.5,139.0,Movie
Dark Empire,5.1,222.1,580.7,138.8,Movie
Eternal Reckoning,6.5,10.1,34.3,87.0,Movie
Hidden Saga,6.6,208.8,789.5,97.9,Movie
Broken War,5.3,280.5,144.7,131.4,Series
Secret Destiny,5.9,115.4,502.6,70.1,Series
Stranger Saga,9.3,7.4,36.6,142.6,Movie
Stranger Code,5.5,9.3,9.7,81.5,Series
Midnight Legacy,4.7,267.7,918.2,162.1,Movie
Shadow Legacy,4.6,217.0,110.9,108.2,Series
Hidden Prophecy,6.0,32.9,23.7,86.5,Series
Broken Code,7.9,17.3,30.8,140.1,Movie
Hidden Chronicles,4.3,241.6,1041.0,126.5,Movie
Shadow Truth,7.6,243.1,835.4,80.6,Movie
Eternal Code,3.1,37.0,92.7,159.3,Movie
Dark Chronicles,5.7,91.2,225.6,114.4,Movie
Secret Prophecy,8.0,234.2,608.3,78.3,Movie
Eternal Destiny,5.2,158.1,300.3,155.5,Movie
Midnight Chronicles,6.7,287.0,1277.1,76.0,Movie
Eternal Legacy,4.3,144.8,442.4,176.2,Movie
Dark War,7.8,203.4,544.7,113.0,Series
Stranger Prophecy,3.3,153.4,397.7,147.4,Movie
Hidden Saga,8.5,282.9,1332.8,114.2,Series
Hidden Code,4.3,120.2,451.5,82.5,Movie
Eternal Destiny,8.7,69.7,80.3,151.0,Movie
Shadow Empire,5.3,98.7,243.4,94.7,Movie
Stranger Empire,7.7,256.0,460.2,141.9,Movie
Dark Code,5.1,149.9,740.6,90.9,Movie
Eternal Prophecy,8.9,106.9,253.3,88.9,Series
Midnight Chronicles,3.8,163.7,131.8,114.9,Series
Shadow Reckoning,4.2,40.8,95.9,157.9,Movie
Dark Prophecy,6.2,2.6,5.1,133.6,Movie
Stranger Code,3.5,84.9,271.5,67.8,Movie
Secret Code,4.3,181.9,276.0,148.1,Series
Hidden Chronicles,9.1,213.8,141.5,129.6,Movie
Lost Reckoning,9.3,248.2,231.2,134.8,Movie
Stranger Saga,5.4,278.1,493.4,102.4,Movie
Eternal Truth,9.0,124.2,256.8,126.7,Series
Shadow Truth,6.5,222.4,946.3,104.6,Movie
Midnight Destiny,4.8,23.3,40.0,69.8,Movie
Eternal Empire,7.6,18.2,11.7,161.3,Movie
Shadow Empire,7.3,38.3,153.7,141.4,Movie
Dark Code,9.4,135.1,595.8,140.5,Movie
Shadow Code,4.7,64.2,174.3,83.2,Series
Broken War,7.4,86.8,154.7,139.6,Movie
Dark Destiny,3.3,194.7,773.9,87.8,Movie
Lost Saga,3.7,108.2,58.4,142.5,Series
Broken Truth,3.0,167.7,781.2,100.0,Movie
Stranger Truth,9.5,124.3,546.3,78.9,Series
Broken Reckoning,8.2,51.5,152.0,168.8,Movie
Eternal Reckoning,8.1,23.1,40.4,72.6,Movie
Final Chronicles,6.3,71.6,46.4,151.4,Movie
Lost Code,5.0,18.3,91.5,72.2,Series
Lost Reckoning,4.0,186.0,730.9,142.2,Movie
Stranger Prophecy,4.9,238.9,483.6,73.2,Movie
Broken Saga,5.4,102.6,60.2,121.1,Series
Broken Reckoning,7.9,116.7,394.1,82.6,Movie
Lost Truth,6.5,245.0,1210.6,164.0,Movie
Midnight Code,3.5,67.6,248.9,108.2,Series
Shadow Code,3.1,36.6,32.1,61.9,Movie
Final Legacy,3.7,150.8,348.4,135.4,Movie
Final Empire,5.7,194.2,192.5,113.4,Movie
Shadow Destiny,9.1,180.3,830.2,163.2,Movie
Lost Legacy,7.1,214.4,426.0,112.0,Series
Lost Saga,8.2,18.0,68.4,109.3,Series
Final Legacy,6.0,129.0,113.7,114.5,Movie
Eternal Prophecy,5.4,72.3,77.9,163.2,Series
Final Legacy,3.7,228.0,811.2,130.4,Series
Stranger Empire,8.7,261.9,1125.0,140.3,Movie
Lost Saga,8.1,85.1,119.7,146.4,Series
Eternal Chronicles,4.1,29.5,70.3,172.5,Movie
Eternal Truth,6.3,76.8,252.5,160.5,Movie
Midnight Legacy,6.2,32.1,131.1,171.3,Movie
Dark Truth,7.1,97.4,324.0,101.2,Movie
Final Chronicles,9.2,161.9,150.5,85.8,Series
Stranger Empire,6.8,292.1,859.6,84.4,Series
Broken Code,6.5,120.4,539.5,162.9,Movie
Midnight Legacy,3.3,66.8,294.3,159.7,Movie
Eternal Prophecy,3.4,50.9,159.4,138.0,Series
Secret Saga,4.2,52.7,262.5,67.6,Series
Broken Prophecy,3.2,58.6,57.0,98.2,Movie
Hidden Destiny,7.8,228.9,607.4,148.1,Movie
Final Reckoning,7.7,19.2,76.6,89.8,Movie
Final Prophecy,3.9,299.2,339.5,134.9,Movie
Midnight Reckoning,8.4,157.3,767.2,125.1,Series
Dark Legacy,4.0,163.7,342.7,91.5,Movie
Stranger Empire,5.0,107.9,224.0,172.1,Movie
Secret Prophecy,4.6,207.4,302.7,90.8,Movie
Stranger Reckoning,5.4,142.0,255.0,167.4,Movie
Dark Prophecy,4.7,99.4,308.1,124.9,Series
Midnight Chronicles,6.2,80.3,195.3,71.0,Series
Shadow Prophecy,5.6,277.8,380.6,160.0,Movie
Broken Saga,9.4,88.0,364.4,155.0,Series
Stranger Truth,3.4,131.5,102.6,159.7,Movie
Hidden Empire,3.9,105.8,450.3,136.6,Movie
Final Saga,3.3,26.8,46.6,145.4,Movie
Eternal Code,7.1,56.6,154.6,168.8,Movie
Eternal Prophecy,3.4,57.7,127.8,75.3,Series
Broken Code,8.4,208.4,639.3,70.0,Series
Final Saga,6.3,122.6,500.4,75.0,Movie
Lost Saga,6.4,234.8,1162.7,164.4,Movie
Dark Code,6.7,213.0,399.9,127.6,Movie
